rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbincllim,pl_bmassj,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjlim,pl_dens,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefflim,st_teffblend,st_mass,st_masslim,st_massblend,st_rad,st_radlim,st_radblend,TEFF_COLOR
1,11 Com,b,Radial Velocity,1,326.03,0,1.29,0,0.231,0,180,,19.40000,0,Msini,1,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,0,4.74,,0,0,V (Johnson),4742,0,0,2.70000,0,0,19,0,0,Green
2,11 UMi,b,Radial Velocity,1,516.22,0,1.54,0,0.08,0,180,,10.50000,0,Msini,1,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,0,5.016,0.009,0,0,V (Johnson),4340,0,0,1.80000,0,0,24.08,0,0,Green
3,14 And,b,Radial Velocity,1,185.84,0,0.83,0,0,0,180,,4.80000,0,Msini,1,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,0,,,,,,4813,0,0,2.20000,0,0,11,0,0,Green
4,14 Her,b,Radial Velocity,1,1773.4,0,2.77,0,0.369,0,180,,4.64000,0,Msini,1,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0,6.61,0.02,0,0,V (Johnson),5311,0,0,0.90000,0,0,1,,0,Cyan
5,16 Cyg B,b,Radial Velocity,1,798.5,0,1.681,0,0.681,0,180,,1.68000,0,Msini,1,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0,6.25,,0,0,V (Johnson),5674,0,0,0.99000,0,0,1,,0,Cyan
6,18 Del,b,Radial Velocity,1,993.3,0,2.6,0,0.08,0,180,,10.30000,0,Msini,1,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,0,,,,,,4979,0,0,2.30000,0,0,8.5,0,0,Green
7,1RXS J160929.1-210524,b,Imaging,1,,,330,0,0.00001,,180,,8.00000,0,Mass,1,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,0,,,,,,4060,0,0,0.85000,0,0,1,,0,Green
8,24 Sex,b,Radial Velocity,2,452.8,0,1.333,0,0.09,0,180,,1.99000,0,Msini,1,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,0,6.441,0.01,0,0,V (Johnson),5098,0,0,1.54000,0,0,4.9,0,0,Cyan
9,24 Sex,c,Radial Velocity,2,883,0,2.08,0,0.29,0,180,,0.86000,0,Msini,1,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,0,6.441,0.01,0,0,V (Johnson),5098,0,0,1.54000,0,0,4.9,0,0,Cyan
10,2MASS J01225093-2439505,b,Imaging,1,,,52,0,0.00001,,180,,24.50000,0,Mass,1,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,0,14.24,0.07,0,0,V (Johnson),3530,0,0,0.40000,0,0,1,,,Yellow
11,2MASS J02192210-3925225,b,Imaging,1,,,156,0,0.00001,,180,,13.90000,0,Mass,1.44,0,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,0,,,,,,3064,0,0,0.11000,0,0,0.28,0,0,Yellow
12,2MASS J04414489+2301513,b,Imaging,1,,,15,0,0.00001,,180,,7.50000,0,Mass,1,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,0,,,,,,0,,,0.02000,0,0,1,,,Red
13,2MASS J12073346-3932539,b,Imaging,1,,,46,0,0.00001,,180,,4.00000,0,Mass,1,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,0,20.15,0.19,0,0,V (Johnson),0,,,0.02000,0,0,1,,,Red
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,0,0.92,0,0.00001,,180,,1.90000,0,Mass,1,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,0,,12.264,,0,0,Kepler-band,0,,0,0.48000,0,0,1,,0,Red
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,0,1,,0.26,0,46.2,0,20.95000,0,Mass,0.92,0,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,0,,,,,,2300,0,0,0.08000,0,0,0.12,0,0,Orange
