mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbpererr1,mpl_orbpererr2,mpl_orbperlim,mpl_orbsmax,mpl_orbsmaxerr1,mpl_orbsmaxerr2,mpl_orbsmaxlim,mpl_orbeccen,mpl_orbeccenerr1,mpl_orbeccenerr2,mpl_orbeccenlim,mpl_orbincl,mpl_orbinclerr1,mpl_orbinclerr2,mpl_orbincllim,mpl_bmassj,mpl_bmassjerr1,mpl_bmassjerr2,mpl_bmassjlim,mpl_bmassprov,mpl_radj,mpl_radjerr1,mpl_radjerr2,mpl_radjlim,mpl_dens,mpl_denserr1,mpl_denserr2,mpl_denslim,ra,raerr,dec,decerr,mst_teff,mst_tefferr1,mst_tefferr2,mst_tefflim,mst_teffblend,mst_mass,mst_masserr1,mst_masserr2,mst_masslim,mst_massblend,mst_rad,mst_raderr1,mst_raderr2,mst_radlim,mst_radblend,rowupdate
CoRoT-25,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...555A.118A target=ref> Almenara et al. 2013 </a>,Transit,1,4.86069,0.00006,-0.00006,0,0.0578,0.002,-0.0009,0,0,,,0,84.5,0.8,-0.3,0,0.27,0.04,-0.04,0,Mass,1.08,0.3,-0.1,0,0.15,0.15,-0.06,0,280.629662,0.000019,6.513829,0.000017,6040,90,-90,0,0,1.09,0.11,-0.05,0,0,1.19,0.14,-0.03,0,0,5/14/14
CoRoT-26,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...555A.118A target=ref> Almenara et al. 2013 </a>,Transit,1,4.20474,0.00005,-0.00005,0,0.0526,0.001,-0.001,0,0,,,0,86.8,2.2,-1,0,0.52,0.05,-0.05,0,Mass,1.26,0.13,-0.07,0,0.28,0.09,-0.07,0,279.750514,0.000017,6.969787,0.000017,5590,100,-100,0,0,1.09,0.06,-0.06,0,0,1.79,0.18,-0.09,0,0,5/14/14
CoRoT-27,b,1,<a href=http://adsabs.harvard.edu/abs/2014A%26A...562A.140P target=ref> Parviainen et al. 2014 </a>,Transit,1,3.57532,0.00006,-0.00006,0,0.0476,0.0066,-0.0066,0,0.065,,,1,86.7,1.2,-0.87,0,10.39,0.55,-0.55,0,Mass,1.007,0.044,-0.044,0,12.6,1.92,-1.67,0,278.495813,0.000019,5.538462,0.000019,5900,120,-120,0,0,1.05,0.11,-0.11,0,0,1.08,0.18,-0.06,0,0,5/14/14
CoRoT-3,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..889D target=ref> Deleuil et al. 2008 </a>,Transit,1,4.2568,0.000005,-0.000005,0,,,,,0,,,0,85.9,0.8,-0.8,0,21.66,1,-1,0,Mass,1.01,0.07,-0.07,0,26.4,5.6,-5.6,0,292.055263,0.000022,0.12182,0.000017,6740,140,-140,0,0,1.37,0.09,-0.09,0,0,1.56,0.09,-0.09,0,0,5/14/14
CoRoT-4,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...488L..47M target=ref> Moutou et al. 2008 </a>,Transit,1,9.20205,0.00037,-0.00037,0,0.09,0.001,-0.001,0,0,0.1,-0.1,0,90,0,-0.085,0,0.72,0.08,-0.08,0,Mass,1.19,0.06,-0.05,0,0.525,0.15,-0.15,0,102.194663,0.000019,-0.672774,0.000017,6190,60,-60,0,0,1.16,0.03,-0.02,0,0,1.17,0.01,-0.03,0,0,5/14/14
CoRoT-5,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..281R target=ref> Rauer et al. 2009 </a>,Transit,1,4.0378962,0.0000019,-0.0000019,0,0.04947,0.00026,-0.00029,0,0.09,0.09,-0.04,0,85.83,0.99,-1.38,0,0.467,0.047,-0.024,0,Mass,1.388,0.046,-0.047,0,0.217,0.031,-0.025,0,101.277254,,0.815239,,6100,65,-65,0,0,1,0.02,-0.02,0,0,1.19,0.04,-0.04,0,0,5/14/14
CoRoT-6,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..14F target=ref> Fridlund et al. 2010 </a>,Transit,1,8.886593,0.000004,-0.000004,0,0.0855,0.0015,-0.0015,0,0.1,,,1,89.07,0.3,-0.3,0,2.96,0.34,-0.34,0,Mass,1.166,0.035,-0.035,0,2.32,0.31,-0.31,0,281.072525,,6.663194,,6090,70,-70,0,0,1.05,0.05,-0.05,0,0,1.02,0.03,-0.03,0,0,5/14/14
CoRoT-8,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...520A..66B target=ref> Borde et al. 2010 </a>,Transit,1,6.21229,0.00003,-0.00003,0,0.063,0.001,-0.001,0,0,,,0,88.4,0.1,-0.1,0,0.22,0.03,-0.03,0,Mass,0.57,0.02,-0.02,0,1.6,0.1,-0.1,0,291.588518,0.000017,1.426452,0.000017,5080,80,-80,0,0,0.88,0.04,-0.04,0,0,0.77,0.02,-0.02,0,0,5/14/14
11 Com,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,Msin(i),,,,,,,,,185.179276,0.000002,17.792868,0.000001,4742,100,-100,0,0,2.7,0.3,-0.3,0,0,19,2,-2,0,0,5/14/14
11 UMi,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,10.5,2.47,-2.47,0,Msin(i),,,,,,,,,229.274536,0.000001,71.823898,0.000001,4340,70,-70,0,0,1.8,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0,5/14/14
